title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - VITTA HEITOR RIGON 3;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 79.537,77 ( desconto de 45,52%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770673121-6;RUA JOSE DE ALCANTARA,N. 765 Apto. 1 BL D, TR 02, , JARDIM HEITOR RIGON
RIBEIRAO PRETO - VITTA HEITOR RIGON 3;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 43,06 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770876172-4;RUA JOSE DE ALCANTARA,N. 765 Apto. 04 BL F TORRE 5, , JARDIM HEITOR RIGON
RIBEIRAO PRETO - PQ ROMANCE;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 103,06 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;844443093993-1;AVENIDA ALFREDO RAVANELI,N. 3409 Apto. 207 AP 207 BL 05, , JARDIM HELENA
RIBEIRAO PRETO - VITTA JARDIM INTERLAGOS;Valor de avaliação: R$ 180.000,00;Valor mínimo de venda: R$ 106.667,03 ( desconto de 40,74%);Apartamento - 98,67 m2, 2 quarto(s) - Venda Direta Online;844442957180-2;RUA ZILDA DE SOUZA RIZZI,N. 751 Apto. 21 BL E - TORRE 5, , JARDIM INTERLAGOS
RIBEIRAO PRETO - VITTA JARDIM INTERLAGOS;Valor de avaliação: R$ 203.000,00;Valor mínimo de venda: R$ 122.695,94 ( desconto de 39,56%);Apartamento - 98,67 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770232748-8;RUA ZILDA DE SOUZA RIZZI,N. 751 Apto. 11 BL D TORRE 03, , JARDIM INTERLAGOS
RIBEIRAO PRETO - LAR SAN MARINO;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 109,17 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771231323-4;AVENIDA TEREZA PALMEIRA GALLON,N. 611 Apto. 14 BL E, TORRE 1, , JARDIM ITAU
RIBEIRAO PRETO - LAR SAN MARINO;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 109,18 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771427004-4;AVENIDA TEREZA PALMEIRA GALLON,N. 611 Apto. 2 BL. D, TR. 1, , JARDIM ITAU
RIBEIRAO PRETO - CONDOMÍNIO VITTA ITAJUBÁ;Valor de avaliação: R$ 152.000,00;Valor mínimo de venda: R$ 84.540,86 ( desconto de 44,38%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553132257-5;RUA ITAJUBA,N. 1161 Apto. 3 BL B TORRE 5, , JARDIM JAVARI
RIBEIRAO PRETO - PARQUE ROMENIA;Valor de avaliação: R$ 163.500,00;Valor mínimo de venda: R$ 96.889,22 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;844442520481-3;RUA OVIDIO COLUS,N. 51 Apto. 403 BL 7, , JARDIM JOSE SAMPAIO JUNIOR
RIBEIRAO PRETO - LAR SUIÇA;Valor de avaliação: R$ 157.000,00;Valor mínimo de venda: R$ 93.037,35 ( desconto de 40,74%);Apartamento - 84,31 m2, 2 quarto(s) - Venda Direta Online;855553608817-1;RUA DOUTOR GALDOS ANGULO,N. 880 Apto. 13 TR 4 - ZURIQUE, BL D, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - LAR ALEMANHA;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 82,58 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770684868-7;RUA DOUTOR GALDOS ANGULO,N. 600 Apto. 33 BLOCO B, TORRE 4, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - LAR ALEMANHA;Valor de avaliação: R$ 170.000,00;Valor mínimo de venda: R$ 100.741,08 ( desconto de 40,74%);Apartamento - 42,5 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770750505-8;RUA DOUTOR GALDOS ANGULO,N. 600 Apto. 04 BL D TORRE 02, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - LAR ALEMANHA;Valor de avaliação: R$ 158.000,00;Valor mínimo de venda: R$ 93.629,95 ( desconto de 40,74%);Apartamento - 82,58 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770828630-9;RUA DOUTOR GALDOS ANGULO,N. 600 Apto. 32 BL C TORRE 5, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - LAR ALEMANHA;Valor de avaliação: R$ 140.322,00;Valor mínimo de venda: R$ 82.153,34 ( desconto de 41,45%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878770854924-5;RUA DOUTOR GALDOS ANGULO,N. 600 Apto. 32 3º PAVIMENTO, BLOCO C, TORRE 2, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - LAR ALEMANHA;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 82,58 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770921755-6;RUA DOUTOR GALDOS ANGULO,N. 600 Apto. 33 BL A TORRE 03, , JARDIM JOSE WILSON TONI
RIBEIRAO PRETO - RES UIRAPURU;Valor de avaliação: R$ 143.000,00;Valor mínimo de venda: R$ 77.903,43 ( desconto de 45,52%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855552351371-5;AVENIDA DOS ANDRADAS,N. 700 Apto. 12 BL 03, , JARDIM MARCHESI
RIBEIRAO PRETO - COND VITTA VILLA VIRGINIA II;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 89.281,64 ( desconto de 40,48%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;144441939170-6;RUA JURUA,N. 891 Apto. 34 TR 01 BL C, , JARDIM MARIA GORETTI
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 145.000,00;Valor mínimo de venda: R$ 84.892,14 ( desconto de 41,45%);Apartamento - 66,25 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771350551-0;RUA PROF AYLTON RICOY DE OLIVEIRA (ANTIGA R UM),N. 925 Apto. 301 BL 24 PV 03 VG 133, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 79,93 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770970731-6;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 304 BL 17, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL PALADIO;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 79,93 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771034798-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 402 BLOCO 20 VAGA 153, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 158.454,67;Valor mínimo de venda: R$ 93.899,38 ( desconto de 40,74%);Apartamento - 64,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771234582-9;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 403 BL2 4PAV, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 64,24 m2, 2 quarto(s) - Venda Direta Online;878771303982-9;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 401 BL 24, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL PALADIO;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 93,62 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771362507-8;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 102 BL17, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 64,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771455476-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 303 BL 5, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 64,25 m2, 2 quarto(s) - Venda Direta Online;878771484184-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 401 BL 28, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 170.000,00;Valor mínimo de venda: R$ 100.741,08 ( desconto de 40,74%);Apartamento - 70,14 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771488402-6;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 302 BL 29, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 156.000,00;Valor mínimo de venda: R$ 92.444,76 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878771491997-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 102 1 PAV BL 03 VAGA DE GARAGEM N.323, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 190.000,00;Valor mínimo de venda: R$ 111.967,60 ( desconto de 41,07%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771510087-8;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 302 BL 03, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 141.000,00;Valor mínimo de venda: R$ 82.550,28 ( desconto de 41,45%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878771510107-6;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 403 BL 04 VG 115, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 158.000,00;Valor mínimo de venda: R$ 93.629,95 ( desconto de 40,74%);Apartamento - 105,63 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771514954-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 102 1º PAVIMENTO, BLOCO 6, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 170.000,00;Valor mínimo de venda: R$ 100.741,08 ( desconto de 40,74%);Apartamento - 64,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771544089-0;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 201 PAV 2, BL 04, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 157.000,00;Valor mínimo de venda: R$ 93.037,35 ( desconto de 40,74%);Apartamento - 64,24 m2 - Venda Direta Online;878771590233-8;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 401 BL 15, LT 09 QD 01, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 180.000,00;Valor mínimo de venda: R$ 106.667,03 ( desconto de 40,74%);Apartamento - 64,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771592326-2;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 201 BL 10, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 164.000,00;Valor mínimo de venda: R$ 97.185,51 ( desconto de 40,74%);Apartamento - 93,46 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771670090-9;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 103 PAV01, BL 11, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 203.000,00;Valor mínimo de venda: R$ 122.695,94 ( desconto de 39,56%);Apartamento - 68,52 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771675999-7;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 403 BL 31 VAGA 222, , JARDIM OURO BRANCO
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 180.000,00;Valor mínimo de venda: R$ 106.667,03 ( desconto de 40,74%);Apartamento - 72,26 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771714852-5;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 302 BL 23, , JARDIM OURO BRANCO
RIBEIRAO PRETO - ED JUPITER CJ MORADA DOS DEUSES;Valor de avaliação: R$ 290.000,00;Valor mínimo de venda: R$ 184.821,15 ( desconto de 36,27%);Apartamento - 118,85 m2, 3 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;144441406069-8;RUA IGUAPE,N. 12 Apto. 62, , JARDIM PAULISTA
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 184.000,00;Valor mínimo de venda: R$ 111.212,08 ( desconto de 39,56%);Apartamento - 94,93 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770884697-5;RUA JOAO CARVALHO RUFINO,N. 1400 Apto. 32 BL C TORRE 3, , LOTEAMENTO SANTA MARTA
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 211.000,00;Valor mínimo de venda: R$ 127.531,25 ( desconto de 39,56%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878771250938-4;RUA JOAO CARVALHO RUFINO,N. 1400 Apto. 23 PAV 2 BL A TORRE 4, , LOTEAMENTO SANTA MARTA
RIBEIRAO PRETO - PARQUE RESIDENCE;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 105,97 m2, 1 vaga(s) na garagem - Venda Direta Online;855552730082-1;ALAMEDA FRANCISCO CRISTOFANI,N. 795 Apto. 402 PAV 04 ANDAR 03 BL 01 VG 26, , PARQUE DOS LAGOS
RIBEIRAO PRETO - PARQUE RESIDENCE;Valor de avaliação: R$ 152.000,00;Valor mínimo de venda: R$ 88.990,38 ( desconto de 41,45%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553100084-5;ALAMEDA FRANCISCO CRISTOFANI,N. 795 Apto. 407 BLOCO 5, VAGA Nº 159, PARQUE DOS LAGOS
RIBEIRAO PRETO - VITTA PARQUE DOS PINUS;Valor de avaliação: R$ 156.000,00;Valor mínimo de venda: R$ 92.444,76 ( desconto de 40,74%);Apartamento - 91,4 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770778170-5;AVENIDA ERNESTO GUEVARA LA SERNA,N. 1150 Apto. 24 TORRE 1 BL B, , PARQUE DOS PINUS
RIBEIRAO PRETO - VITTA PARQUE DOS PINUS;Valor de avaliação: R$ 167.000,00;Valor mínimo de venda: R$ 96.489,21 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770885889-2;RUA ERNESTO GUEVARA LA SERNA,N. 1150 Apto. 12 TR 04 BL B, , PARQUE DOS PINUS
RIBEIRAO PRETO - VITTA IPIRANGA II;Valor de avaliação: R$ 145.500,93;Valor mínimo de venda: R$ 85.185,41 ( desconto de 41,45%);Apartamento - 88,42 m2, 2 quarto(s) - Venda Direta Online;855553293771-9;RUA PALMIRO BIM,N. 597 Apto. 22 BL C - TORRE 4, , PARQUE DOS PINUS
RIBEIRAO PRETO - VITTA IPIRANGA II;Valor de avaliação: R$ 163.000,00;Valor mínimo de venda: R$ 89.932,41 ( desconto de 44,83%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553307444-7;RUA PALMIRO BIM,N. 597 Apto. 21 TORRE 5 BL C, , PARQUE DOS PINUS
RIBEIRAO PRETO - VITTA IPIRANGA II;Valor de avaliação: R$ 130.000,00;Valor mínimo de venda: R$ 75.305,50 ( desconto de 42,07%);Apartamento - 88,42 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553320773-0;RUA PALMIRO BIM,N. 597 Apto. 11 TORRE 02 - BLOCO F, , PARQUE DOS PINUS
