title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - VITTA RECANTO DOS LAGOS;Valor de avaliação: R$ 165.000,00;Valor mínimo de venda: R$ 97.778,11 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;844442808184-4;R JOAO GUIMARAES ROSA,N. 65 Apto. 1 TERREO BL B TORRE 2, , RESIDENCIAL PARQUE DOS SERVIDORES
RIBEIRAO PRETO - LAR URUGUAI;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 95,09 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770767060-1;RUA OLIVIA MARIA DE JESUS,N. 2255 Apto. 21 PAV 02 BL A TORRE 2, , RESIDENCIAL PARQUE DOS SERVIDORES
RIBEIRAO PRETO - RESIDENCIAL ATILIO BENEDINI II;Valor de avaliação: R$ 145.000,00;Valor mínimo de venda: R$ 84.892,14 ( desconto de 41,45%);Apartamento - 118,26 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770764060-5;AVENIDA PIO XII,N. 1935 Apto. 341 BLOCO 03, , SOLAR BOA VISTA
RIBEIRAO PRETO - RES ATILIO BENEDINI II;Valor de avaliação: R$ 133.000,00;Valor mínimo de venda: R$ 77.043,32 ( desconto de 42,07%);Apartamento - 118,26 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770809101-0;AVENIDA PIO XII,N. 1935 Apto. 434 BL 04, , SOLAR BOA VISTA
RIBEIRAO PRETO - LAR CANADÁ;Valor de avaliação: R$ 147.000,00;Valor mínimo de venda: R$ 86.063,06 ( desconto de 41,45%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553528454-6;RUA ITAPICURU,N. 1735 Apto. 34 TORRE 4, 3º PAV TORONTO, , TERRAS ALPHA RIBEIRAO PRETO
RIBEIRAO PRETO - VITTA PARQUE DOS LIRIOS;Valor de avaliação: R$ 147.000,00;Valor mínimo de venda: R$ 86.063,06 ( desconto de 41,45%);Apartamento - 89,2 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771535574-4;AV GOVERNADOR MARIO COVAS,N. 7555 Apto. 03 TORRE 2 BL D, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 127.000,00;Valor mínimo de venda: R$ 75.876,00 ( desconto de 40,26%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553711160-6;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 32 BL E TORRE 1, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 152.000,00;Valor mínimo de venda: R$ 88.990,38 ( desconto de 41,45%);Apartamento - 88,21 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553741988-0;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 24 BLOCO C TORRE 4, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 64 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553853766-6;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 02 TORRE 02 BL F, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VIA NORTE I;Valor de avaliação: R$ 147.000,00;Valor mínimo de venda: R$ 86.063,06 ( desconto de 41,45%);Apartamento - 86,88 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553886899-9;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 11 TR 04, BL D, , VALENTINA FIGUEIREDO
